id,comment,Label
18,""" You're right, it was who accused me of attacking you. There's no need for this to get carried away, though. I just thought that person's question was nonsensical. Thanks.""",0
19,As said by Sir Thomas Moore in ''They'll think that somewhere along your pedigree a bitch got over the wall!',1
20,"Not only is there a wholly reliable source indicating that Joey Lauren Adams does not identify as bisexual and has explicitly disavowed what the earlier source claimed, but the URL you're actually adding to the list as a reference for her is about Brett Anderson and doesn't mention Adams anywhere. Stop this now, please.",0
21,Are you gay?? Sound like it,1
22,"Oh God. Not you again. Go away and stop bothering me, non-administrator. 98.221.192.218",1
23,"Interesting. I checked the other case number Kunzang Lhamo cited which can't be used for Wiki since it's original research. But going a step further, I can't find that case number on San Bernadino's Open Access, either in civil or criminal records.",0
24,"Fuck off, you half-wit You wikiwankers set the standard for delusional.",1
25,"so block me, stupid prick!",1
26,Jonathan Mangum I know Jonathan Mangum a wiki user is a sockpuppet of...Gsnguy! 208.54.38.62,0
27,"I was the one being under personal attacks by people who avoid the subject and kept to personal attacks instead to read what I was writting, and yes my contribution was avancing the subject with very important and new informations, but the other users were constantly trying to stop it by the mean of personal attacks. I wonder that you suppress my contribution but let the one of val stay, who contain nothing but a copy paste of very large part of my edit, without any reasons for it, whcich is against wiki rules, and with personal attacks in between. Very convenient too that you leave ton for holyday straight after doing so, meaning less than 6 hours after having doing so. This talk page is not a talk page but a propaganda page for a propaganda article, with only mormon administators to make sure nothing they disaproove as church member will come through. You do not have given a fundament for your actions, and I therefor disagree with it. you will have to be there to do so.",0
28,"Meanie ferret never revert me again, you piece of clown fart and/or meanie ferret!",1
29,"you people are pretty overzealous with this whole free thing. get a fucking life, you fucking niggers !!!23 16!!!",1
30,""" Rollback rights request Hello: I see you are listed as an admin. who is willing to consider and grant rollback rights. I would ask for that consideration at this time. I have 9,175 edits and have reviewer rights. I have written ten articles and helped two gain """"good article status"""". Please feel free to ask me any questions needed. Thank you for your time, """,0
31,REDIRECT Talk:The Lamp (1986 film),0
32,"So some admin comes along with his own agenda, wrongfully declines my speedy request, so then I can't have an article I wrote deleted? What bullshit. -",1
33,"I know, i reaslised that music videos are themselves part of the legacy, and that the music videos and racial issue's should go together as they as linked strongly. Then i thought oh what the hell, lets put critical and commerical together. I shuffled paragraphs and pictures around and now it makes sense. We can get Thriller 25 sorted today, if people will allow it to have its own page, i dont mind what you do with it here on Thriller.",0
34,"Go hang yourself. You're making garbage edits on Wikipedia and you are ruining Wikipedia. Go shoot yourself, n!!!gger. Screw rap music. Hang yourself and die, You're dumb, Gayo68.",1
35,Fuck shit kwa kwa kwa!,1
36,"REPLY ABOVE: That was me, loser. The UN defines Vietnam to be part of Southeast Asia. And far as I know Vietnam is part of ASEAN, and used to be part of French Indochina with Laos and all those shit countries Anyway your culture has always been more influenced by SEA than Han Chinese (as in proper Yangtze Han Chinese, not the fringe indigenous tribes in Guangzhou/Guangxi). Just admit that you vietnamese are all a bunch of wannabe crap people. ALL the east asian people I've spoken to thinks of Vietnam as a very integral part of SEA, and we all think you're backward, dirty and speak in a horrible swearing language. Doesn't matter what crap you spout on Wikipedia, won't change the way people in the real world think.",1
37,"Water controversy This needs to be expanded but in a cited, npov manner. Indian County Today and News from Indian Country would probably be good online sources for current issues facing the Klamath Tribes. Regarding recent edits about blood quantum, the overwhelming majority of Native American tribes require a minimum blood for membership. - Uyvsdi",0
38,""" Okay in that case I shall assert that from now all shall refer to me officially as """"Holy golden monkey who brings the sun"""", well because obviously what I say my title should be is more important than anything else. talk """,0
39,"""Because I'm a pedant like this: In response to the last paraphrase, from 101 - 102 of Asbury's The Great Illusion, I'm tempted to call npov here. Asbury states that neither Pussyfoot nor his associates were """"punished or even reprimanded;"""" further, he even states that they were """"justified."""" However, there's a distinct difference between whether something is moral or justified. Anyway, I'm nitpicking. Here's the passage so you can judge for yourself: """"Although Pussyfoot Johnson's political operations failed by a large margin to conform strictly to the Christian principles upon which the league had been founded, neither he nor others who employed similar 'variations' were ever punished or even reprimanded. It was generally felt by prohibition leaders that since the league acted as the agent of the churches and was therefore engaged upon the Lord's business, anything was justified which might help gain the ends desired by the Almighty."""" (102) """,0
40,""" Hey First, it's between me and idiot, so please don't get involved, ok? I had added information to the Snopes article that I not only verified but then provided information on the talk page on how to do so. Instead of checking the talk page though, lazy idiot just hits revert and goes back to eating chips off his/her chest. Unfortunately that seems to be all too common around here - I've read countless """"bitching sessions"""" posted by other people added constructive and meaningful information, only to have some lazy jerk remove it on a whim without even bothering to see what it was. 99.139.224.87 """,1
41,NICE clean up today!!! Thanks!,0
42,"Shamash is Sun I agree to merge Sammash in to Shamash, since Shamash is more likely to be correct. Tracking the root of the word, clearly it is of Assyrian origin, in addition, it is a common vocabulary morph to substitute Sh to S and thus, nowadays, it is spelled as Shams in Modern Arabic.",0
43,"Ah fuck it. I see now. looked back in Striver's records, he's a fucking islamist troll nothing more. No point bothering with him, he'll just keep popping up.",1
44,"It is too long in places, goes into trivia, yet fails entirely to mention to principal point of the last episode and its final phrase. Much can be taken out but the structure and an explication of the principal themes can still be preserved.",0
45,""" Edit war? Please have a look at the user's contribs and point out a single one that's not vandalism. I was reverting said vandalism and also posted (and was planning on posting further) bespoke warnings to address the issue. As it stands a cunt like you turned up so feel free to carry on where I've left off. Thanks, talk to me """,1
46,""" Stupid? As soon as I saw the phrase """"metal is stupid"""" at the very beginning of the article, I assumed I misread it. When I confirmed that it did indeed say """"metal is stupid,"""" I then assumed it was vandalism. However, I don't know anything about chemistry (See: Soviet education system) so if the word """"stupid"""" has some other meaning in chemistry, I would have no way of knowing or refuting it. Could someone that actually has some amount of knowledge on this subject confirm whether this is or is not vandalism or a typo or what-have-you? """,1
47,"Looks good to me. At the moment, I don't think we need to mention feral cats - I doubt that it is common for feral cats to enter a house via a cat flap. On the whole cats are uncomfortable with entering another's territory, although I imagine it does happen occaisionally, especially if a feral cat learns that there might find food inside. If someone can find a useful reference on the subject we could re-add it. Mind you I did once find a wood pigeon tapping at my girlfriend's cat flap - which seemed particularly unwise.",0
48,""" We all know that. just about everyone here watches the updates. Theres a REASON they aren't listed. �÷ Complaints """,0
49,""" Shame In text it says a Serb was killed """"even though he was moderate"""" which implies that Serbs who are not loyal to Albanians deserve to be killed how sick is that? 24.135.84.89 """,1
50,REDIRECT Talk:Finland national floorball team,0
51,he sucks Sceptre's cock,1
52,Disagree: It's been well established that lists of characters are appropriate for wikipedia. 75.148.25.169,0
53,YAWN!! The above COMMENT is a quote from McNeight!!! AND yet HE still insistes on adding that damn 'preceeding unsigned.....yada...yada' What a RUDE and obnoxious individual.,1
54,"You guys suk. You really really suck. Fuck you, MisterSmiley and 331dot",1
55,Re From coupon to groupon - please don't post original essays or analysis to Wikipedia. See WP:NOR.,0
56,"The very long discussion over st WP:SCN project talk page I have read a lot of the WP:SCN pages, and the very few have Neutrality tags. Some have OR tags but the majority seem to be NPOV. So why is the project talk page being bloated by a discussion between three Scientologists (from what I can make out have scanned all three user pages, and a lot of comments are unsigned) about how the project is biased against Elron? Would the time not be better used by going through the pages and challenging NPOV, possibly by throwing in neutrality tags and pointing out non-NPOV statements on the talk pages of those articles? After all Xenu is FA status so the NPOV cannot be too far off. As for unsigned, the comment you left after my first post was unsigned, and there were a couple of more during the discussion.",0
57,"HIS INFERNAL MAJESTY rock alternative????? alternative rock??????????(like a placebo,radiohead,30stm)... To the ignorant people who put this genre: Do you even know what Alternative Rock is??? How can you label HIM as Alternative Rock??? The latest album might have some elements of it, but HIM is NOT an Alternative Rock band... They have Gothic Rock elements, Metal elements, Glam Rock elements and much more...they are love metal",1
58,your edit filter sucks get rid of it you fag,1
59,These are public computers. Don't ban uss all because a few people are retarded.,1
60,"Biased, unreliable,emotionally written by armenin wiki editors== Pls, stop using the wikipedia for your dirty propaganda and lobbying purposes. There was no genocide. THis is a amyth advanced by the armenian church and armenian fundamentalist fascists. A nation can not be subject to a egnocide when it has several heros for whom you can see statues in yerevan (Irevan),. jews don't have it. The resolution is the act of some sold congressmen who want to appease the armenian lobby. it has no reliable, valid and neutral content. It is kjust a piece of dirty and lie facts presented and written by christian missionaries working to kill Turks and Kurds in 1910s. You can claim to be subject to genocide as much as you want. But this thing did never happen. Some armenian fundamentalists and fascists, who were killing Kurds, Turks and Azerbaijanis, were killed by great sons of the Turkic nation and I am proud of them. Go and propogate your lie as much as you can. YOu will achieve nothing. raman ==",0
61,fucking liberal prick and get a life!,1
62,"Why doesn't someone that knows how to edit, SEARCH THE WEB and put in the article THE FACT that 25,000 volts from a stun gun, administered twice, will 100% neutralized the poison and REMOVE the pain within seconds. This knowledge has been on the Internet over ten years. There were quite a few doctors who were promoting it but apparently the AMA put a stop to that. Look at this. The medical profession HAS NO REMEDY and will charge a person THOUSANDS of dollars for treatment, and WILL NOT TELL THEM about stun guns, which WILL eliminate the problem IMMEDIATELY. The public deserves to know this and you guys that edit can EASILY find this information.76.6.94.150",0
63,"YOU SUCK I HATE YOU> YOU CAN FUCK MY ASS ALL NIGHT BITCH SHit Love , David Ortiz",1
64,"R U GUILTY I WROTE A COMMENT RETALIATING YOUR FOOLISH ARGUMENTS, AND WHEN I WENT BACK TO CHECK FOR A RESPONSE, THEY WERENT THERE!!!! ON HISTORY, AFTER ME, THERE WAS YOUR NAME LISTED, UNDDER THE SAME TOPIC NAM, WHICH MEANS IT MUST HAVE BEEN U SCARED LITTLE ANIMAL!! IN FUTURE, PLEASE REFRAIN FROM SUCH THINGS, AND THIS JUST GOES TO SHOW FOR YOUR LACK OF CONFIDENCE ABOUT THE BULLSHIT YOU WRITE ABOUT PAKISTANS HISTORY!! IF YOU DOENT LIKE BEING CUT, LEAVE WIKIPEDIA, YOU INEQUIVALENT ANIMAL!!!",1
65,"Source everything (i.e., citations for all information).",0
66,"The are problems with the sfc t record. There are no credible sci challenges to it. This new section is absurdly US-centered, it cannot possibly stand as it it. This is the *global* record we're talking about. You need some credible scientific papers, not pictures of stations. As far as I know, the sfcstations stuff has merely documented problems with some station sitings and maintenance, etc. There is not even the beginning of an attempt at quantifying what influence, plus or minus, this might have on the record. If you're interested, there are papers about the effects of switching from north-wall screens to stevenson screens; thatched huts in africa; etc etc",0
67,""" Regarding edits made during December 31 2006 (UTC) to Kanpur Please do not add inappropriate external links to Wikipedia. Wikipedia is not a mere directory of links nor should it be used for advertising or promotion. Inappropriate links include (but are not limited to) links to personal web sites, links to web sites with which you are affiliated, and links that exist to attract visitors to a web site or promote a product. See the external links guideline and spam policies for further explanations of links that are considered appropriate. If you feel the link should be added to the article, then please discuss it on the article's talk page rather than re-adding it. See the welcome page to learn more about Wikipedia. Thank you. talk """,0
68,Does anybody know what the outcome of the Chicago pornography charges were? Have they gone to trial yet?,0
69,Wikipedia administrators are defending a mass-murdering psychopath.,1
70,i take the liberty of calling u a fag0t a second time sir,1
71,your the troll fine welcome to this encyclopedia - why do you do this? it is hurtful to call anyone a troll specially if they came with a question for judy blume - not a troll!!! fine keep it then and get herpes!,1
72,"GA article passed Good Article criteria Article is well written, comprehensive, and easy to understand. It is factually accurate and verifiable, sourced to (33) citations. It is broad in coverage, covering a large historical period, and was an interesting read I might add. It is neutral, representing data covered in a fair manner. It appears to be stable, with no major conflicts between editors regarding this article that I could find. Good use of images, (9) images overall, and of those, all of them are free-use images, and not fair use. Good job to all of the contributors involved. .",0
73,""" I really don't give a fuck if you think I'm personally attacking you or not (And let me guess... you're gonna tell the big bad wiki gods that I said a mean and naughty curse word to you?). It was one thing when you got upset that I (as someone who grew up in the actual city of Milwaukee) wouldn't concede to your outsider, suburban view of what was and wasn't Milwaukee, but now that you're stalking me on other parts of wiki, it's gotten downright pathetic. And for the record, I'm still not convinced that WLC is actually in Milwaukee, I just refuse to waste any more of my time on the issue. But I do find it awfully telling that you made those edits (regardling WLC) with absolutely no proof, and now you want to delete my work for not having any """"proof."""" Get a life you damn hypocrite... """,1
74,I don't believe you're a faggot. You're more like a Eurotoxin douche.,1
75,"No problem I was thinking of creating yet another sockpuppet anyway. I edit those comments in question because they contain a link to a hate site wherein the subject is my person. Since none of YOU boobs will do anything about it (despite being informed repeatedly), I had to take manners into my own hands. Sue me if you don't like it, Dorothy.",1
76,This guy is so dirty. He's awesome FUCK YEAH AHAHAHHAAHA,1
77,There must be some chemical imbalance in your brains. Are you ok? The gibberish you guys are writing really makes me feel sorry for you. Don't ever go to law school. You would do the legal profession bad.,0
78,"""Regarding """"personal attacks"""", I took out the disclaimer (that I had put in). I first considered copying it over to the Wikipedia Review link, as this is the same site the disclaimer referred to, but then I realized, no, that's insane! What, now we're warning people that there might be bad language and not-nice things said on a website? What the fuck? That's like warning people before reading a newspaper that there might be articles that would be """"a bummer, man; might bring you down all day"""". What is this world turning into, Disneyland, where every protruding thing that could possibly hurt you is covered in nice soft padding? Sheesh! == """,1
79,""" June 2010 (UTC) I would suggest, quite simply, that there are a few editors here who are either on the subject's shore team or part of his new PR firm. Simple math this Wiki page doesn't get a lot of hits. Probably even less than the Subject's own web page. For """"neutral"""" wiki editor to spend as much time and effort.... well ...I have my doubts. We Wiki editors do not appreciate you using Wikipedia as a promotional tool. Buy an add from Google. 02:54, 13""",0
80,"JA: Regional dialect, I guess. Will change back later tonight.",0
81,"Oops, the math major in me is coming out - I did the math, and if the info destruction is greater than the info creation, you actually end up with a negative amount of encyclopedia....not a zero amount ; )",0
82,", by appealing to a single disputed edit on an entirely different page",0
83,"What I was referring to is The Goon Show. The Pink Oboe was the main ne'er do well spy character in one of the shows. My old decrepit mind won't allow me to remember which one, but it will come back to me eventually.",0
84,""" So why did you remove Live On Air and live at Woodstock. Also Stay The Night had the same kinda release as Nuclear family did which is also a promo single. The Forgotten was the lead single from the twilight soundtrack. And why is it fine to add for example Godzilla: The Album to the appearances section but not have its own section. The title was other appearances, so I a sub for song in other albums and one for songs in soundtracks (which is an album) but yet you remove them without saying why """,0
85,read the bible you cunt,1
86,"Green Red Desu Desu Desu Desu Desu Edit this page, and you are a cocksucker Desu",1
87,Oh boy I can still edit this page!,0
88,Mentally ill freak Stop editing other people's talk page like 3 year old. F-off.,1
89,Suck my fattie you cunt piece of shit. Blow your warning out your ass.,1
90,""", 14 August 2007 (UTC) Deleting warnings from my talk page is considered uncivil? Then I guess that I'm an """"uncivil gringo"""" like your hero Hugo Chavez would say. As I said in the statement that I posted on your discussion page, please don't foul my discussion page with your unsolicited and unwanted nonsense. I don't give a shit about you or what you think! Got it, amigo? 19:19""",1
91,"Very good, and certainly better than the original ;-) - 15:13, May 11, 2004 (UTC)",0
92,""" Block of Darwiner111 He's been sockpuppeting like mad, and editing disruptively with all his sockpuppets, which include (talk) """,1
93,"You can block and block and suck my cock but nothing can stop freedom of speech. In the end, America wins. We always do. Ask Saddam. My sockpuppet army is on the march. 02:13, 30 Mar 2005 (UTC)",1
94,Private engineering colleges I have left only the most famous ones in the article.,0
95,"Hey man, I'm really not trying to edit war. It's just that this guy is constantly removing relevant information and talking to me through edits instead of my talk page. He seems to care more about the formatting than the actual info.",0
96,"I don't see a disagreement, but one could interpret the rationale and its exposition in various ways. � Talk",0
97,Hi Im a fucking bitch. 50.180.208.181,1
98,"It doesn't sound like there is a copyright issue as that would be in the public domain, however the question is whether posting a whole speech is encyclopedic. It sounds more like material for Wikisource. (talk,",0
99,"The article reads a lot like a news article. Unfortunately, Wikipedia is not a place for journalism or speculation. You're welcome to add something more encyclopedic to HTML5. (talk)",0
100,"}} and his many, many socks",0
101,who has stepped in from nowhere and is interfering in issues which he doesn't understand and thinks that contributors from ethnic minorities which the pages they are editing are about and are thus in the best position to know about them are inferior to other people who have had no contact with these minorities at all. This is a typical British colonialist patronising racist attitude,1
102,"Provence and Nice hello, The deletion of the picture of Nice of the article was cancelled... But I absolutely don't see why Nice should be part of Provence. It is part of PACA, of course, but not of Provence itself. Historicaly speaking, Nice belonged to Provence during the Middle Age, however, Istanbul was still Byzantine Constantinople more recently, and on an article of Greece, no one will put a picture of Istanbul...",0
103,""" I've changed the heading along the lines you suggested, to """"Criticisms of Michael Dorris"""", which I hope tackles the question you raised. Feel free to alter it further, of course! """,0
104,your a fag fuck you nigger,1
105,What a fucking nosey asshole Any reason why you decided to butt your nose in where it doesn't belong?,1
106,"how on earth is it vandalism when i'm correcting a mistake, are you even listening or am i talking to a brick wall?",1
107,"""==Other events== HP Pavilion at San Jose hosts an average of 190 events a year, including many non-sporting events. In 2006, the HP Pavilion sold the most tickets to non-sporting events of any venue in the Western United States, and the fourth highest total in the world, after Madison Square Garden in New York City, the Manchester Evening News Arena in Manchester, and the Air Canada Centre in Toronto. The arena regularly hosts concerts by numerous performers and has played host for major sporting events, such as the U.S. Figure Skating Championships, the NCAA Basketball tournament (known as March Madness), the Pac-10 women's basketball championship, and the Dew Action Sports Tour. HP Pavilion has been rumored to be the new home of the Sacramento Kings NBA franchise if the city of Sacramento or a private developer can't come up with funding for a new venue in Sacramento. """,0
108,""" Give me a little bit, and I'll look into this. SWATJester Son of the Defender """,0
109,"Im sorry are you fucking stupid that nice person just gave me a warning then you fucking block me, nigger cunt eat pussy bitch",1
110,", 19 August 2011 (UTC) Look who is talking. Legilas is the user who's got Autopatrolled rights although he has 16 articles on the list. Will justice ever be served? Calling me names is one thing but accusing me of sockpuppetry? You're really desperate, aren't you? 15:35",1
111,"ok travis, you need to learn something. Chaka Zulu is the manager for Ludacris!!! He has nothing to do with the Shaka get that in your mind!",0
112,""" Hi Johhny The problem with """"and then gang up and then vote to delete my work as original research. hypocrites."""" is of course that your """"work"""" DOES classify as original research. And screaming """"Marxism"""" doesn't really add to your credibility, either.""",0
113,""" 2007 (UTC) Well, see first if anyone at the page is question objects to unlocking - without bias towards future editorial decisions. D 14:21, 23 July""",0
114,All the admins on this shitty site are neurotic control freaks. Don't let their hideous attitudes prevent you from doing what you think is right,1
115,"I don't have desperately strong opinions about what should be included other than the two most widely recognised songs of Lennon's solo career. However, it seems to me that anyone who does have such an opinion ought first to make the case for whichever song(s) they want include on the talk page in order to gain consensus (if any can be reached). On that understanding, does it seem reasonable to trim the paragraph and leave a note in the article to direct people to the talk page?",0
116,""" (Ivo Banac)...A bit of nonteleological history One of the great problems is that our understanding of the common and individual histories of the South Slavs and the other peoples of southeastern Europe has not significantly benefited from critical historiography. This is because nationalist historiographies regularly have explained modern developments as an aspect of unilinear design. We have been taught to see connections that may be of our own making. For example, if we look at a current political map of the area and compare it to that from the era of settlements we will see that the present political divisions do not correspond to those from the early medieval period. Croatia is mainly a coastal area from the Rasa River in Istria to the Cetina River, a little bit to the east of the city of Split. Down the coast from the original Croatia, we have a row of unfamiliar Slavic territories that Constantine VII Porphyrogenitus, the tenth-century Byzantine emperor-historian, called Pagania (literally, land of the pagans), Zachlumia (most of present-day eastern Herzegovina, with the Croatian peninsula of Peljesac), Terbounia (the Trebinje area of eastern Herzegovina, with Dubrovnik and its eastern coastal environs), and Dioclea (the southern portions of contemporary Montenegro with the Bay of Kotor and the northwesternmost portions of present-day Albania around Lake Skadar/Shkoder). Serbia is located in the hinterland of Zachlumia, Terbounia, and Dioclea, its center around Ras, near today's Novi Pazar, in the Sandzak. Bosnia was apparently within this territory, but represented a negligible area around the source of the Bosna River, where we now find Sarajevo and its environs. And Dalmatia? In the tenth-century this was a necklace of Byzantine-ruled Roman coastal cities and island territories, from Krk in the north to Ulcinj in the south. Moreover, modern territoriality required a tradition that was itself a product of modernity. Thus, unrelated traditions were merged to produce an idea of ethnic-as opposed to cultural-continuity. The Croat historical tradition goes back to the Chronicle of the Priest of Dioclea (a twelfth-century text from Bar in contemporary Montenegro) and its various translations (for example, Marko Marulic, 1510), which were in turn incorporated into the Early Modern """"Slavic"""" and """"Dalmatian"""" histories of Mavro Orbin (1601) and Ivan Lucic (Ioannes Lucius, 1666). These works then became material for the Croatianizing work of Pavao Ritter Vitezovic (Croatia rediviva, 1700), who was the most important influence on the revivalist generation of Ljudevit Gaj (1809-1872) and that of postrevival integral nationalists like Ante Starcevic (1823-1896). Curiously, the same histories (Orbin's) were Serbianized through the translations of Sava Vladislavic (1722), which then influenced the pioneering Serbian histories of Jovan Rajic (1794), and were Bulgarianized in the history of Paisij Hilandarski (1762). The Bosnian historical tradition was somewhat more self-contained. It combined the Franciscan memory of medieval Bosnian statehood with the experiences of Muslim ayan (notable) selfrule to argue for a uninational Bosnia (for example, Antun Knezevic, whose book was published between 1884 and 1887). Clearly, something has happened in the span of ten centuries. Pagania, Zachlumia, and Terbounia have disappeared. The center of Croatia has migrated from the Adriatic to the north, into medieval Slavonia (literally, Slavic land), with Zagreb at its head. This happened in stages. During the High Middle Ages, the heart of Croatia was on the Una River, now in northwestern Bosnia. This territory (Turkish Croatia) was lost to the Ottomans in the sixteenth century and became a part of Bosnia. During the Habsburg reconquest and the concomitant Venetian operations in the seventeenth century, the framework of modern Croatia emerged in two extended shanks-one, to the north, to modern Slavonia; the other, in the south, in modern Dalmatia. At the same time, the Zagreb area, which was only dubiously Croatian in the early Middle Ages, became the heart of modern Croatia. The story of Serbia is not much different. Serbia first migrated to the coast and assimilated Dioclea. Then it moved to the Ibar-Morava valleys; then toward the valleys of Struma and Vardar in Macedonia. It reached the Danube only as an Ottoman vassal in the fifteenth century. And its modern capital, Belgrade, became truly Serbian only in the course of Karadjordje's uprising in 1806. Bosnia, too, expanded under Ban (or prorex) Kulin (r. 1180-1204) into the Donji Kraji (literally, Lower Lands) around the Vrbas River and the Soli (literally, Salt Lands; for centuries, Ottoman, then modern Tuzla) and Usora, in its present northeastern corner. Later on, at the height of its power in fourteenth century, Bosnia expanded into Hum (Herzegovina) and the Drina River valley. The westernmost regions were inc",0
117,"Senior descendant of Victoria & Albert? Is he really the senior male-line dynastic descendant of Victoria & Albert? Prince Richard, Duke of Gloucester is the most senior male-line male descendant of Victoria & Albert as he is the surviving son of Prince Henry, Duke of Gloucester and, as the Duke's two elder brothers, Edward and Albert (who reigned as George VI) had no sons, is since the death of his elder brother, William in 1972, the senior male-line male grandchild of George V, who was the surviving son of Edward VII, the first son of Victoria & Albert. Prince Andreas is a descendant of Leopold, Duke of Albany, who was Victoria and Albert's fourth son and Edward VII's youngest brother. Thus, he can't be considered as the senior male-line descendant of Victoria and Albert but, through dynastic changes in succession with renounciation of rights to the throne of Coburg by the future Edward VII and the Prince Arthur, Duke of Connaught, he is the current titular Duke and thus is, with no doubt, the head of the House of Saxe-Coburg and Gotha. Nonethelles, his British cousins from the Windsor family are agnatically senior to his family. We can say that Prince Andreas is the senior male-line descendant of Prince Albert in right of the former realm of Saxe-Coburg and Gotha, as the elder lines of his descendants (thourgh Edward VII and Arthur, Duke of Connaught, now extinct in male-line) renounced their rights to it, but definitely he is not Prince Albert's senior male-line descendant in general.",0
118,""" This is actually a popular myth. Raphael Holinshed, in his """"Chronicles of England, Scotland and Ireland"""", 1577, p746, lines 48 thru 55, states that Richard III stood before Parliament immediately after the Buckingham rebellion in October 1483, and demanded """"his innocencie concerning the murther of his nephews toward the world"""" (sic).""",0
119,""" In case it has never dawned on any of you - all coats of arms are """"made up"""" by someone, somewhere, at some point in time. That is their nature. Their purpose is to serve as identifying symbols of the individuals or families who bear them. Coats of arms do not fall from the heavens ready-made by the hand of the almighty - they have to be created by mortal men for the purposes they are designed for. In some countries the designing of such devices is heavily regulated, in others (such as the United States) it is not. But in either case all the coats of arms in existence are created fabrications made up by someone, somewhere at some point in time and born by their owners as symbols of their iidentity. """,0
120,"is a Poopie Pants She has poop in her pants and it goes *squish* *squish* *squish* *squish* *thurphftp* STOP BEING A POOPIE PANTS, !!!!",1
121,"LACK OF BALANCE This article is seriously out of balance. It would benefit greatly from the introduction of additional information about the negative aspects of the T-34. Just for the record, this sort of balance problem is not uncommon when there is an over dependence on the works of a particular author. For example, testing and evaluation of a T-34 by the US Army Ordnance Dept. exposed some very serious problems with the tank. This type of information should be included in the article to bring it back into balance.",0
122,"THATS A PERSONAL ATTACK. MY NAME DOESNT OFFEND ANYONE AND YOU KNOW IT. IF U WANNA SPLIT HAIRS LIKE THAT, Y'ALL SHOULD REPORT YOURSELVES FOR PERSONALLY ATTACKING ME. I DONT FOLLOW MINDLESS RULES. UNLESS YOU CAN PROVE MY NAME IS INFRINGING ON SOMEONES RIGHTS, IT STAYS",1
123,"not true, this is practice in many places outside the province. regardless, language translation should be added. 218.186.8.234",0
