id,comment,clean_comment,Label
11,"'We also have the problem of defining ""economist""the problem I was suggesting when I pointed out that there were creationists who, in terms of academic credentials, qualified as biologists. It doesnt follow that there is serious controversy within biology over creation vs evolution. There are lots of people who would describe themselves as economists who I wouldnt describe as real economists, and who I suspect Paul Krugman, whose politics are rather different from mine, wouldnt describe as real economists either. The reason is not that they disagree with meEarl Thompson and Abba Lerner disagreed with me, and certainly were (in Earls case, still is) economists. The reason is that they either could not get a reasonably good grade on a price theory exami.e. do not understand the fundamentals of economic theoryor could get it only by giving answers they didnt believei.e. dont agree with the fundamentals of economic theory. They are ""economists"" in the sense of ""people who are hired to do In your opinion, by the definition above, is John Kenneth Galbraith a ""real economist?"" Robert Reich? Paul Samuelson?'", also problem defining economist the problem suggesting pointed creationists who terms academic credentials qualified biologists doesnt follow serious controversy within biology creation vs evolution lots people would describe economists wouldnt describe real economists suspect paul krugman whose politics rather different mine wouldnt describe real economists either reason disagree meearl thompson abba lerner disagreed me certainly in earls case still is economists reason either could get reasonably good grade price theory exami e understand fundamentals economic theoryor could get giving answers didnt believei e dont agree fundamentals economic theory economists sense people hired opinion definition above john kenneth galbraith real economist robert reich paul samuelson ,0
12,"'Also check that ""temp"" and ""tmp"" are pointing to a subdirectory, not the root of a drive. i.e. temp=x:\temp\ , NOT temp=x:\ . Try ""temp=x:\temp"", I think you will have a problem with the trailing slash. Be sure to look for duplicate entries for these. I think it was Lotus SmartSuite, that installed a second set of each, and the TCPIP install, and VAC++, will create one for TMP. Other programs may do likewise. Only the last entry will be used. hope this helps. From the PC of Doug Bissett'", check temp tmp pointing subdirectory root drive i e temp x temp temp x try temp x temp think problem trailing slash sure look duplicate entries these think lotus smartsuite installed second set each tcpip install vac create one tmp programs may likewise last entry used hope helps pc doug bissett ,0
13,"'Phillips Especially if he is wearing a tux, lives in a castle, and has a thick Hungarian accent. An important case-study in vampire attack prevention: A castle in Transylvania. The duke is in the basement music chamber, playing a Bach toccata on his massive pipe organ. Suddenly, the door to the chamber starts to open, ever so slowly. A figure dressed in a tux starts to sneak his way stealthily up to the duke. Without missing a note, the duke produces a silver crucifix from his pocket and holds it aloft. ""Nikhts kan dir helfen, bubele"" answers the vampire. Yiddish for: ""Nothing can help you, pal"" Regards, Eugene Holman'", especially wearing tux lives castle thick hungarian accent important case study vampire attack prevention castle transylvania duke basement music chamber playing bach toccata massive pipe organ suddenly door chamber starts open ever slowly figure dressed tux starts sneak way stealthily duke without missing note duke produces silver crucifix pocket holds aloft nikhts kan dir helfen bubele answers vampire yiddish for nothing help you pal regards eugene holman ,0
14,"'even though the cookie crumbs lead right to their bedroom door! LOL! I dont have any little kids around here, but if I did and they were lucky enough, the dog would be in here. She would have eaten the evidence in a heartbeat! Rae Morrill in Maine ""Ya cant get theyuh from heeah"" _ Spam mailers WILL be reported to their respective postmasters and AOL TOSSPAM!'", though cookie crumbs lead right bedroom door lol dont little kids around here lucky enough dog would here would eaten evidence heartbeat rae morrill maine ya cant get theyuh heeah spam mailers reported respective postmasters aol tosspam ,0
15,'that smelly plan of yours are you still working on it', smelly plan still working it ,1
16,"'the only answer i know for you is that whatever the settings are when you close the IDE (i.e. whatever forms you have open) will be opened when the project loads next time Hi. How do you change the default size of the code and project(the white background part) windows? it is just annoying me and i would like too know because it starts out really wide. Another IDE question how do you change it so when a project loads the default form, or any other, is showed? Thanks, Richie Richie V. Icq# 29665407 Referral = ANP-563 make money while you surf, Shameless promotion.'", answer know whatever settings close ide i e whatever forms open opened project loads next time hi change default size code project the white background part windows annoying would like know starts really wide another ide question change project loads default form other showed thanks richie richie v icq referral anp make money surf shameless promotion ,0
17,"'Thanks for the information. Your sniffing faq answered a lot of fundamental questions I had. To follow up: It appears that you are indeed receiving the initial SYN packet, but that your machine isnt responding with a SYN ACK. This indicates some firewalling going on at the machine itself. However, when I telnet to port 25 from behind the firewall my machine does respond. It is only when I telnet to port 25 from outside the firewall that it doest respond. Is there a reason why my machine would respond to a request from inside the firewall, but not to a request from outside the firewall? And only do so for port 25 (port 23 and 110 work fine)? thanks. p.s. I am running RedHat Linux 6.0 Anyway, you might want to see my sniffing-faq: Robert Graham Exchange ideas on practically anything (tm).'", information sniffing faq answered lot fundamental questions had follow up appears indeed receiving initial syn packet machine isnt responding syn ack indicates firewalling going machine itself however telnet port behind firewall machine respond telnet port outside firewall doest respond reason machine would respond request inside firewall request outside firewall port port work fine thanks p s running redhat linux anyway might want see sniffing faq robert graham exchange ideas practically anything tm ,0
18,"'DEAR COMEDY DEVIL: You are apparently hitting the ""new post"" button on your browser when replying to messages on A REAL PROOF OF GOD. You should be hitting the ""Reply"" or ""reply to group"" button no wonder you have beenm complaining about not getting any answers from me. Please post to A REAL PROOF OF GOD so that I can find your messages. In the meantime I have a few replies below: Cant believe this Georgie-porgie.are you STOOPID? Julian Jaynes ideas was anti-Cartesian you dipshit. He ascribed the rise of religion to different functions of L and R hemispheresvoices in the head to be precise. Penrose ascribed consciousness to possible quantum actions in the brain (ie no non-computational algorithm) NOT ""god"". Your theory is unfasifiable. [Hammond]Clearly not so since it is based on 100 years of experiemental psychometry data. fact is it has already been confirmed. Since any theory which has been confirmed is unfalsifiable your statement confirms my theory. You have not answered my questions which quite frankly are first year Psych questions. You fail to even justify the thought process that led you to this theory. You quote references and sources which seem only to justify your theory and miss out the parts which are inconvenient.and the most unforgivable.you fail to describe/note any experiment/lab work to support your theory. [Hammond]What are you talking about there are 75 bibliographic citations at the end of my published paper. what are you; out in Left Field.? you even miss the bleedin obvious.Cartesian dualism isnt even credible anymore as a Psych theory [Hammond]]You dont know the difference between the Cartesian Coordinate System and Cartesian Dualism how did you get a PhD.? .you fail to mention other notables in this field such as Hebdige and Deutscheyou miss quote Penrose.shall I go on? Or am I one of the 50% that you just ignore because they dont agree with you? [Hammond]You are totally uninformed about the theory through laziness I would guess. but assume you have a liscense to sput opinions irregardless. who do you think you are kidding you think I am an amateur kid you can snow?? Post some real science. Then we can have a heated debate. Ron [Hammond] I have posted the real science at you are a PhD psychologist and I dont thing you know the difference between an eigenvalue and a secod order factor. George Hammond, M.S. Physics'", comedy devil apparently hitting new post button browser replying messages real proof god hitting reply reply group button wonder beenm complaining getting answers me please post real proof god find messages meantime replies below cant believe georgie porgie are stoopid julian jaynes ideas anti cartesian dipshit ascribed rise religion different functions l r hemispheresvoices head precise penrose ascribed consciousness possible quantum actions brain ie non computational algorithm god theory unfasifiable hammond clearly since based years experiemental psychometry data fact already confirmed since theory confirmed unfalsifiable statement confirms theory answered questions quite frankly first year psych questions fail even justify thought process led theory quote references sources seem justify theory miss parts inconvenient and unforgivable you fail describe note experiment lab work support theory hammond what talking bibliographic citations end published paper you left field even miss bleedin obvious cartesian dualism isnt even credible anymore psych theory hammond you dont know difference cartesian coordinate system cartesian dualism get phd you fail mention notables field hebdige deutscheyou miss quote penrose shall go on one ignore dont agree you hammond you totally uninformed theory laziness would guess assume liscense sput opinions irregardless think kidding think amateur kid snow post real science heated debate ron hammond posted real science phd psychologist dont thing know difference eigenvalue secod order factor george hammond m s physics ,1
19,"'Hello to the group: I will get right to it, then. Could anyone give me any information about the Burmese MA of Bando. Any info, Websites or opinions would be greatly appreciated. Michael Gardner Before you buy.'", group get right it then could anyone give information burmese bando info websites opinions would greatly appreciated michael gardner buy ,0
20,"'That means Sales +Marketing have done another good job, and will get their budget increased next year /milleniumto make up for the problems they caused his year/millenium Strange world, Sales/Marketing get more money for screw-ups and engineering get a kick in the butt. I guess it is better than down-sizing when engineering get it right :). Regards Rob'", means sales marketing done another good job get budget increased next year milleniumto make problems caused year millenium strange world sales marketing get money screw ups engineering get kick butt guess better down sizing engineering get right regards rob ,1
21,'let me tell you that i never saw a more retarded decision in my life', tell never saw retarded decision life ,1
22,"'On Tue, 12 Oct 1999 -0500, astroachieogy blathered: [snip] Hey, he is not doing it to circumvent killfiles. He just does it because he likes to, he says. So?. Unless you can prove he does it to just annoy cetain people. What the heck are you babbling about now, O Illiterate One? Well Poindexter you also said, ""he says"" . Sounds like you doubt him. Why? Are you suggesting that he didnt say it? Imagine that I would left out the ""he says"". Youd be trotting out the tired old canard that I was ""mindreading"". Didnt say you were mindreading, your make assumptions, that Roachie changes his headers to get around killfiles. WRONG. Like I said, it is nothing to do with you or anyone else. You also said , "" Likes to what, I wonder."". Asking for a consensous on that?. I said, he is NOT doing it to circumvent killfiles he is just doing it because he likes to, just exactly as he has claimed before. Yes, but you do keep on about it. It must really bother you. Um, you are the one bringing up these deep, deep objections. Are you bothered? Not at all. Do you have some objection to my making a comment that agrees with him? First time for everything, I suppose. OK, you must know better than I. I was wrong. He is doing it to circumvent killfiles, then. You think he is doing for an advantage or deception to out wit you?. Wrong again Poindexter, he is doing it because he wants to. Oh, yes. I see youve thought everything through, as usual. Nothing to do with you at all. Happy now? Always. For some reason, I get this mental image of the village idiot from Woody Allens ""Love and Death"" spinning about cheerfully. Well, if thats how you think of yourself, who are we to argue with that?. PZ Myers . D.R.Ken Anglesea.Astrocricketologist. Agnostic Astrologer Call 2995603 .SAN. 92-01766-048. Neumekenologist S.N.I.P. W.W.A.S.#5'", tue oct astroachieogy blathered snip hey circumvent killfiles likes to says so unless prove annoy cetain people heck babbling now illiterate one well poindexter also said he says sounds like doubt him why suggesting didnt say it imagine would left he says youd trotting tired old canard mindreading didnt say mindreading make assumptions roachie changes headers get around killfiles wrong like said nothing anyone else also said likes what wonder asking consensous that said circumvent killfiles likes to exactly claimed before yes keep it must really bother you um one bringing deep deep objections bothered all objection making comment agrees him first time everything suppose ok must know better i wrong circumvent killfiles then think advantage deception wit you wrong poindexter wants to oh yes see youve thought everything through usual nothing all happy now always reason get mental image village idiot woody allens love death spinning cheerfully well thats think yourself argue that pz myers d r ken anglesea astrocricketologist agnostic astrologer call san neumekenologist s n i p w w a s ,1
23,"'Since any theory which has been confirmed is unfalsifiable Any students of science reading this thread would be advised to IGNORE the above. It is absolutely wrong. JeffMo ""[.] any effort at safe sex is totally, utterly immoral from top to bottom."" Rev. James Reuter, Office of Mass Media, Catholic Church of the Philippines'", theory confirmed unfalsifiable students science reading thread would advised ignore above absolutely wrong jeffmo effort safe sex totally utterly immoral top bottom rev james reuter office mass media catholic church philippines ,1
24,"'Linda: Thank Linda. you are a brilliant diamond in a swamp of mud, the light of truth in a lot of darkness TRINITINE hmmm. such an ability to detect this amidst the itsy bitsy teensy weensy minuscule quark like tid-bits upon which I have thus far sparked, speaks volumes. for your own quintessential state of being! Linda. magnifying in reciprocity; for such an illustrious and luminous and gracious type(d tone.'", thank linda brilliant diamond swamp mud light truth lot darkness trinitine hmmm ability detect amidst itsy bitsy teensy weensy minuscule quark like tid bits upon thus far sparked speaks volumes quintessential state being linda magnifying reciprocity illustrious luminous gracious type d tone ,0
25,"'1) Download 2) Run/install SWGameEN.exe (version 3.02) 3) Then copy SW3dpro.vxd to the windows system dir. Then the OS will see the game controller! Hope this helps! P.S. Microsoft committed a large gaffe by not including this vxd file with Win98SE. Chuck, I am waiting for my mx-300 to show-up (ordered it, it will be here Monday I guess), but decided to try the drivers you mentioned above. At the moment, I am using the SB16 joystick port, which works with all joystick gear. Joystick resources are 0201-0201, no conflicts. The link you offered above (thanks, hell if I could find it), swgameen.exe is version 3.00, not 3.02. Dunno if that matters much. Also, the sw3dpro.vxd is version 3.00 (not 3.01). After installing swgameen.exe, my dang rudders -refused- to calibrate. Got rid of the joystick update software (restored from a backup), and all is fine again. Then I got to wondering; hmm, for all my joystick-gear, I use Microsofts generic ""Gameport Joystick"" driver (it is listed in System-Resources, also shows-up in the joystick-calibration screen (in joystick-calibration, there is no other driver option). Since you mentioned this sw3pro.vxd, I am wondering if I should ""remove"" the generic Gameport-Joystick, and ""add"" and try this sw3pro.vxd driver(?). If so, what is the correct Joystick-name (actually a driver) to add? In ""add new hardware"", after installing the update file above, there are many Microsoft Sidewinder-Pro drivers to choose from. Did I miss a step? Should I have tried a certain Microsoft JS driver (other than ""Gameport Joystick"")? Gotta laugh; this joystick update ""leans"" (heavily) on setting up Microsoft joystick/pedals/etc. Adds 17mb to the hard-disk too. It would seem MS would make a ""generic"" joystick update. Otoh. I never installed MSs service pack 2.5 (for OSR2), as it insists- on installing IE-5 (which is also a -very- large, proprietary browser). Nice update, but I use Netscape. Geez I wish someone made a Joystick update called ""FTFJS"" (Force the F Joystick). Teehole'", download run install swgameen exe version copy vxd windows system dir os see game controller hope helps p s microsoft committed large gaffe including vxd file chuck waiting mx show up ordered it monday guess decided try drivers mentioned above moment using joystick port works joystick gear joystick resources conflicts link offered thanks hell could find it swgameen exe version dunno matters much also vxd version not installing swgameen exe dang rudders refused calibrate got rid joystick update software restored backup fine again got wondering hmm joystick gear use microsofts generic gameport joystick driver it listed system resources also shows up joystick calibration screen in joystick calibration driver option since mentioned vxd wondering remove generic gameport joystick add try vxd driver so correct joystick name actually driver add add new hardware installing update file above many microsoft sidewinder pro drivers choose from miss step tried certain microsoft js driver other gameport joystick gotta laugh joystick update leans heavily setting microsoft joystick pedals etc adds hard disk too would seem ms would make generic joystick update otoh never installed mss service pack for insists installing ie which also very large proprietary browser nice update use netscape geez wish someone made joystick update called ftfjs force f joystick teehole ,1
26,"'I am in no position to verify or refute Rummels figures (Otto Pohl has some interesting views on that subject if he is around) but I would condemn democide from whatever source. David I am not sure that my views are that interesting, but Rummels figures for the USSR certainly exceed most estimates of Soviet excess death under Stalin. Currently most estimates converge around 20 million. The Soviet documentary records regarding executions, deaths in corrective labor camps, corrective labor colonies, prisons, special settlements, POW camps, etc. is much more extencsive than any statistical documents that exist for deaths caused by the Nazis. These recorded deaths in the Soviet records exceed three and a half million deaths in OGPU-NKVD-MVD custody. In terms of genocide, the Stalinist deportation of North Caucasians destroyed a percentage of the total population of the Karachais, Chechens, Ingush and Balkars almost equal to total world Jewish losses during World War II. Yet according to the great hero of ""anti- revisionists"" Deborah Lipstadt, ""In contrast, no citizen of the Soviet Union assumed that deportation and death were inevitable consequences of his or her ethnic origins."" Denying the Holocaust (p. 212). Her denial of this particular crime against humanity proves that ""anti- revisionists"" are not at all interested in truth or concerned about genocide denial. They are concerned with a political agenda of which uses the ""uniqueness"" of the Holocaust as a shield to dismiss other state crimes as morally insignificant. J. Otto Pohl Before you buy.'", position verify refute rummels figures otto pohl interesting views subject around would condemn democide whatever source david sure views interesting rummels figures ussr certainly exceed estimates soviet excess death stalin currently estimates converge around million soviet documentary records regarding executions deaths corrective labor camps corrective labor colonies prisons special settlements pow camps etc much extencsive statistical documents exist deaths caused nazis recorded deaths soviet records exceed three half million deaths ogpu nkvd mvd custody terms genocide stalinist deportation north caucasians destroyed percentage total population karachais chechens ingush balkars almost equal total world jewish losses world war ii yet according great hero anti revisionists deborah lipstadt in contrast citizen soviet union assumed deportation death inevitable consequences ethnic origins denying holocaust p denial particular crime humanity proves anti revisionists interested truth concerned genocide denial concerned political agenda uses uniqueness holocaust shield dismiss state crimes morally insignificant j otto pohl buy ,1
27,"'Finally, it came time to build my Utility Diskettes. And it was now that I unfortunately had a total failure! Almost immediately upon starting the function, I am getting an error message popup that says: An error occurred while copying system files. Utility disks cannot be created. In Warp 4, the original ""Create Utility Disks"" program was something called ""bootdisk.exe"" and created four utility diskettes using the original files on the install CD-ROM. Then, starting in fixpack 5 or so, IBM added a little check box on the second ""Source Directory"" screen which said ""Use files from hard disk if they exist."" The reason for this was to use the most up-to-date file versions installed from fixpacks in creating the utility disks rather than the downlevel GA files. A great idea but a bug in the program prevented it from working if you checked the box. If you dont check the box, the 4 utility boxes are still created from the GA files like always. Apparently this bug is fixed in fixpack 12 for Warp v4. I suspect that the Create Utility Disks program in Warp Connect has a similar bug. Try it with the box unchecked and see what happens. If that does not help, look at the source directory for the utility disk files. Did you install from CD-Rom or diskettes? Is the letter of the source drive correct or has it changed during your new installation? Is the CD-ROM or install diskettes physically in the source drive? The program will terminate if these things are wrong. I doubt that your video install method had anything to do with the create utility disks program. The program is basically pretty simple and just copies a lot of files.'", came time build utility diskettes unfortunately total failure almost immediately upon starting function getting error message popup says error occurred copying system files utility disks cannot created warp original create utility disks program something called bootdisk exe created four utility diskettes using original files install cd rom then starting fixpack so ibm added little check box second source directory screen said use files hard disk exist reason use up to date file versions installed fixpacks creating utility disks rather downlevel ga files great idea bug program prevented working checked box dont check box utility boxes still created ga files like always apparently bug fixed fixpack warp suspect create utility disks program warp connect similar bug try box unchecked see happens help look source directory utility disk files install cd rom diskettes letter source drive correct changed new installation cd rom install diskettes physically source drive program terminate things wrong doubt video install method anything create utility disks program program basically pretty simple copies lot files ,0
28,"'CD1DDFD7994C630C595909A2 Content-Type: text/plain; charset=us-ascii Content-Transfer-Encoding: 7bit I am doing an operative report and I dont know what the correct spelling is in this sentence - ""the site was dressed with (s/l) misitration and a dry dressing."" Does anyone know the correct spelling for this word? Thanks LisaC CD1DDFD7994C630C595909A2 Content-Type: text/html; charset=us-ascii Content-Transfer-Encoding: 7bit HTML I am doing an operative report and I dont know what&nbsp; the correct spelling is in this sentence - ""the site was dressed with (s/l) Umisitration/U and a dry dressing.""&nbsp; Does anyone know the correct spelling for this word? PThanks BRLisaC/HTML CD1DDFD7994C630C595909A2'", content type text plain charset us ascii content transfer encoding operative report dont know correct spelling sentence the site dressed s l misitration dry dressing anyone know correct spelling word thanks lisac content type text html charset us ascii content transfer encoding html operative report dont know what nbsp correct spelling sentence the site dressed s l umisitration u dry dressing nbsp anyone know correct spelling word pthanks brlisac html ,0
29,"'Now you are tasting for 8/5 what Cons taste 24/7. Get the picture? Think you have to guts, the fortitude, the Will to remain sane, safe and sound and get out and make it under such a regime? Doubt it, you have experinaced trouble here already in doing so. LOTS OF LOVE MAX Newsgroups: alt.prisons Me too, although I do have to admit that most of my job related stress doesnt come from the inmates. Nor mine, Java, mine is mostly from stupid administrators who tell me to do something and then bitch when I do as I am told. Fraternally, Walt Sgt. NYSDOCS ""If ya cant do the time, dont do the crime!"" Tony Barretta Lets replace that idiotic ""Do the crime, do the time"" with that old timer that went "" LET THE PUNISHMENT FIT THE CRIME"" Another one ""DONT MAKE A FEDERAL CASE OUT OF IT"" :copyright: 1999 by Wings Of An Angel'", tasting cons taste get picture think guts fortitude remain sane safe sound get make regime doubt it experinaced trouble already so lots love max newsgroups alt prisons too although admit job related stress doesnt come inmates mine java mine mostly stupid administrators tell something bitch told fraternally walt sgt nysdocs if ya cant time dont crime tony barretta lets replace idiotic do crime time old timer went let punishment fit crime another one dont make federal case it copyright wings angel ,1
30,"'ok fixed it,i went to another program.""syshield 1.1 ver.""i do have win98 so i dont have any problems.all those port that where open is now closed or filteredthanks to everyone out there how tryied to help methanks. my port 53,139 and 12345 is opened. i have a firewall program.how do i closed all 3 of these ports.'", fixed it i went another program syshield ver i dont problems all port open closed filteredthanks everyone tryied help methanks port opened firewall program how closed ports ,0
31,"'Rick, didnt that work take some organization? Whats ""organization""? You cant just slop together a masterpiece Ever seen a Picasso? I sure have including the special exhibit at the MOMA ""Picasso and Braque Pioneering Cubism"" in 1990 Picasso didnt slop anything together & anyone who thinks that has an untrained eye & doesnt know much about Art History Cheers Rhianna Zodiac, groovy fortunetelling, mystical fun stuff'", didnt work take organization whats organization cant slop together masterpiece ever seen picasso sure including special exhibit moma picasso braque pioneering cubism picasso didnt slop anything together anyone thinks untrained eye doesnt know much art history cheers rhianna zodiac groovy fortunetelling mystical fun stuff ,1
32,"'Someone in this newsgroup was wondering what was meant by Micro vs. Macro evolution. Micro evolution is when a creature adapts to it is envionment genetically. This happens all the time. We have definate proof for it. Anyone denying it is a moron. Macro evolution is when a creature ceases to be able to breed with similar creatures and so becomes a separate creature. Macro Evolution is decried as false and unscientific by protestant evangelists. Unfortunetly, the strength of their protests reduces their credibility. Come on, arent they the ones who proposed that man was made from dust? Frank Bartunek'", newsgroup wondering meant micro vs macro evolution micro evolution creature adapts envionment genetically happens time definate proof it anyone denying moron macro evolution creature ceases able breed similar creatures becomes separate creature macro evolution decried false unscientific protestant evangelists unfortunetly strength protests reduces credibility come on arent ones proposed man made dust frank bartunek ,1
